utt_id,speaker,reference,prediction,wer
C_004_0001_vacuum_bathroom_OAL,C_004,Porszivo ki fürdőszob,Borsziból ki 4 cső szúbát.,1.3333333333333333
C_004_1111_NULL_room_LA,C_004,Szoban csatornát válni,"Szóban, játott 8 nincs.",1.3333333333333333
C_004_NULL_toaster_kitchen_OL,C_004,Piritos konyhában,"Péritos, konyhában!",1.0
C_004_0001_curtain_room_LAO,C_004,Szoba felhúz függöny,Szopa fel úzböggönyen.,1.0
C_004_0001_door_bathroom_LAO,C_004,Fürdőszoban nyit ajton,"Förtös opal, mit a idón.",1.6666666666666667
C_004_0001_curtain_livingroom_LAO,C_004,Nagyszoban felhuz függöny,nap szoban fel az ökönnyen.,1.6666666666666667
C_004_0010_curtain_kitchen_LAO,C_004,Konyhába húz be a függönyt,Konyhába húz be a völgön.,0.2
C_004_NULL_fan_smallroom_LO,C_004,Kisszoban telendilátor,kis szopane fel lendilától.,2.0
C_005_0010_computer_room_AOL,C_005,Kapcsold be a számítógép et a szobában,kapcsolt be a számítók képget a szovában.,0.5714285714285714
C_005_0010_radio_room_AOL,C_005,Kapcsold be a rádiót a szobában,kapcsolatban a rádiót a szobában.,0.5
C_005_0010_door_livingroom_AOL,C_005,Zárd be a ajtót a nagyszobában ,Zsárt be a fő a ajtót a nagy szobában.,0.8333333333333334
C_005_1000_shutter_room_AOL,C_005,Húzd fel a redőnyöket a szobában,hogy fel a reddőnyelket a szomában.,0.5
C_005_0010_stove_kitchen_LAO,C_005,A konyhában kapcsold be a gázt,a konyhában kapcsolj be a kázt.,0.5
C_005_1000_electricity_smallroom_LAO,C_005,A kisszobában kapcsold fel a lámpát,a kis szopában kapcsolta fel a plántát.,0.8333333333333334
C_005_0001_window_room_LAO,C_005,A szobában kinyitjuk a a ablakot,a szobában kinyítsuk a vlogot.,0.6666666666666666
C_005_0100_electricity_livingroom_AOL,C_005,Kapcsold le a villanyt a nagyszobában,kapcsolat a villany a nagy szobában.,0.8333333333333334
C_005_1111_radio_kitchen_AOL,C_005,Kapcsold át a rádiót a konyhában,kapcsolat át a rádiót a konyhában.,0.3333333333333333
C_005_0010_fan_room_AOL,C_005,Kapcsold be a ventillátort a szobában,kapsolt be a ventellátort a szubából.,0.5
C_005_0001_window_livingroom_AOL,C_005,Kinyityuk a ablakot a nagyszobában,kénétjük a blakot a nagy szobában.,0.8
C_005_1000_TV_smallroom_AOL,C_005,Hangosídd fel a tévét a kisszobában,hangosít fel a tévét a kis szobában.,0.5
C_006_0001_curtain_smallroom_AOL,C_006,Húzd szét a függönyt a kisszobában,Húzzét a függent a kis szabában.,0.8333333333333334
C_006_0010_vacuum_livingroom_AOL,C_006,Kapcsold be a porszívót a nagyszobában,kapcsol be a porzsivóta megy szabában.,0.6666666666666666
C_006_0100_shutter_room_LAO,C_006,A szobában húzd le a redőnyt,A szobában újra redent.,0.6666666666666666
C_006_1000_TV_livingroom_AOL,C_006,Vedd feljebb a televíziót a nagyszobában,"Vett pegyett a televízió, a tanács szobában.",0.8333333333333334
C_006_0010_curtain_smallroom_AOL,C_006,Húzd be a függönyt a kisszobában,"Húr bár figyelj, hogy kisra bárban.",1.0
C_006_0100_dishwasher_kitchen_LAO,C_006,A konyhában kapcsold be a mosogatógépet,"A konyhában kapcsolj be, amúgy rakatog egy pet.",1.0
C_006_1000_heating_smallroom_LAO,C_006,A kisszobában húzd fel a radiátort,A kis sobából húz fel a rövődéákat.,0.6666666666666666
C_006_0001_vacuum_room_LAO,C_006,A szobában kapcsold ki a porszívót,A szobában kapcsolat képp horszívok.,0.6666666666666666
C_006_0001_curtain_livingroom_AOL,C_006,Húzd szét a függönyt a nagyszobában,húrcét a függönt a meccrobában.,0.6666666666666666
C_006_1000_heating_bathroom_LAO,C_006,Fürdőszobában húzd fel a radiátort,Füttesabbabban hoz felerózja a szórt.,0.8
C_006_1000_shutter_room_LAO,C_006,A szobában hihúsz fel a redőnyt,A sobában hívóz felregen.,0.8333333333333334
C_006_0100_electricity_bathroom_LAO,C_006,A fürdőszobában kapcsold le a villanyt,a Fütösöbbabán kaptott a villányt.,0.8333333333333334
C_006_0001_heating_kitchen_LAO,C_006,A konyhában kapcsold ki a radiátort,a kolynában kapcsolatkozott kezleti átokt.,1.0
C_006_0001_curtain_bathroom_LAO,C_006,A fürdőszobábn húzd szét a függönyt,a field-sabábán új set-ofiggyönt.,1.0
C_006_0100_shutter_corridor_AOL,C_006,Húzd le a redőnyt a folyosón,Húz láradjunk a folyosom.,0.8333333333333334
C_006_0001_computer_room_LAO,C_006,A szobában kapcsold ki a számítógépet,a szobában kapcsolatki a számítógépet.,0.6666666666666666
C_006_1000_electricity_livingroom_LAO,C_006,A nagyszobában kapcsold fel a villanyt,A nácsobában kaptott fel a villányt.,0.5
C_006_0001_fan_smallroom_AOL,C_006,Kapcsold ki a ventillárot a kisszobában,"kapcsolat kia, ventenátot a kis sábából.",1.0
C_006_0010_heating_livingroom_AOL,C_006,Kapcsold be a radiátort a nagyszobában,"kapcsolatbá, radiátort, nasztobábán.",1.0
C_006_0001_curtain_smallroom_LAO,C_006,A kisszöbában húzd szét a függönyt,akit szabában húl szét a figyelmet.,0.6666666666666666
C_006_0100_heating_kitchen_LAO,C_006,A konyhában húzd le a radiátort,A konyhában oldal rádi a tag.,0.5
C_006_0100_heating_bathroom_LAO,C_006,A fürdőszobában húzd le a radiátort,"a földesobában úgy lelre, de játszott.",1.0
C_006_0001_heating_livingroom_LAO,C_006,A nagyszobában kapcsold ki a radiátort,a nice-robában kapcsolat kér az értiátok.,1.0
C_006_0001_window_corridor_LAO,C_006,A folyosón nyisd ki az ablakot,a folyoson nincs kell bablakott.,1.0
C_006_0100_electricity_bathroom_AOL,C_006,Kapcsold le a villanyt a fürdőszobában,kapszon láj villanita földesz a bármán.,0.8333333333333334
C_006_0001_washingmaschine_bathroom_LAO,C_006,A fürdőszobábana kapcsold be a mosást harminc fokon,a füldösobában kapcsol be a mosart harmig sokra.,0.75
C_006_1000_shutter_kitchen_LAO,C_006,A konyhában húzd fel a redőnyt,a koinkában húz kvára lehet.,1.0
C_007_0010_door_livingroom_AOL,C_007,Zárd be az ajtót a nagyszobában,Zsák be az altót a nostalbából.,0.5
C_007_0001_curtain_kitchen_LAO,C_007,A konyhában húzd szét a függönyt,A konjába húszíth a fűgönt.,0.6666666666666666
C_007_0010_toaster_kitchen_LAO,C_007,A konyhába kapcold be a pirítósz,a konyhába kaptunk be a pirítős.,0.5
C_007_1111_radio_kitchen_ALO,C_007,Vál csatornát a konyhában a rádión,fátja tulajd a konyhában a lálium.,0.5
C_007_0010_curtain_bathroom_LAO,C_007,A fürdőszobába húzd be a függönyt,A függőzőbából húzba a függőző.,0.6666666666666666
C_007_0100_heating_smallroom_AOL,C_007,Húzd le ladiátort a kisszobában,utl le a loriátot a kicsőbában.,0.8
C_007_0001_heating_corridor_LAO,C_007,A folyoszon kapcsold ki a radiátort,a fújóson kapcsolj ki a radiátort.,0.6666666666666666
C_007_1000_shutter_bathroom_LAO,C_007,A fürdőszobába húzd fel a redőnyt,"a földöszúbába, húz fel a lelőnt.",0.6666666666666666
C_007_0010_washingmaschine_kitchen_AOL,C_007,Kapcsold be a mo mosógépet a konyhában hatvan fokon,"kapcsolat a mosoképet a konyában, a hátvan fokor.",0.8888888888888888
C_007_1000_heating_livingroom_LAO,C_007,A nagyszobában húzd fel a iladitátort,a naszobában húsz fel a laliátort.,0.6666666666666666
C_007_0100_TV_livingroom_LAO,C_007,A nagyszobában halkítsd a tévét,a Nossobábán halkított évet.,1.0
C_007_0001_heating_room_LAO,C_007,A szobába kapcsold ki a radiátort,a szobában kapcsolni a zádiátort.,0.8333333333333334
C_007_0001_door_bathroom_AOL,C_007,Nyiszd ki az ajtót a fürdőszobába,Nizki az atót a füldőcsrobában.,0.6666666666666666
C_007_1000_electricity_corridor_AOL,C_007,Kapcsold fel a villanyt a folyosón,kaptosztj fel a vilán a főjósó.,0.5
C_007_0010_window_smallroom_AOL,C_007,Zárd be az ablakot a kisszubában,"azok rájpé az a blokot, az kiszi várpont.",1.1666666666666667
C_007_0010_window_livingroom_LAO,C_007,A nagyszobában zárd be a ablakot,Azt most szóbából szed be a blokot.,0.8333333333333334
C_007_0001_heating_livingroom_AOL,C_007,Kapcsold ki a radiátort a nagyszobában,kapcsolsi aláliátot a nosszabbában.,0.8333333333333334
C_007_0001_fan_livingroom_AOL,C_007,Kapcsold ki a ventillátort a nagyszobában,kaptos ki a pendéláltot a Nosszobában.,0.5
C_007_1000_electricity_bathroom_AOL,C_007,Kapcsold föl a villanyt a fürdőszobában,kaptolt epőd a vilany a füldósobában.,0.6666666666666666
C_007_1000_TV_livingroom_AOL,C_007,Hangosíd a tévét a nagyszobában,"Hongkukit, a TV-t, a Nosszú babam.",0.8
C_007_0001_door_kitchen_AOL,C_007,Nyisd k iaz ajtot a konyhában,niski az adott a konyhában.,0.8333333333333334
C_007_1000_heating_smallroom_AOL,C_007,Húzd fel a radiátort a kisszobában,20 fel a liádot a kisítszóbában.,0.5
C_007_0100_electricity_corridor_AOL,C_007,Kapcsold le a villanyt a folyosón,kaptam le a világyat fújózó.,0.6666666666666666
C_007_0001_window_livingroom_AOL,C_007,Nyisd ki a a ablakot a nagyszobában,Niski a blakot a sovábom.,0.7142857142857143
C_007_0010_computer_smallroom_LAO,C_007,A kisszobában kapcsold be a számítógépet,a kiszióbából kaptuk be a számítóképet.,0.6666666666666666
C_007_0100_electricity_bathroom_AOL,C_007,Kapcsold be a villanyt a fürdőszobába,"kaptó bett, a vilán, a csúzsó bármám.",0.8333333333333334
C_007_0010_window_bathroom_LAO,C_007,A fürdőszobában zárd be az ablakot,"A sütősőbából, zár a belőz a blokot.",1.0
C_008_1000_electricity_livingroom_AOL,C_008,Kapcsold fel a villanyt a nagyszobában,"kácsot, pár a víran, a nácsomában.",0.6666666666666666
C_008_1111_TV_livingroom_ALO,C_008,Válts csatornát a nagyszobában a tévén,Zvázzatónát a nagyszombában a kébén.,0.6666666666666666
C_008_1000_TV_smallroom_AOL,C_008,Angosítsd fel a tévét a kisszobában,"Angol síz, per a tíreit a kíszombában.",0.8333333333333334
C_008_0001_heating_kitchen_LAO,C_008,Konyhában kapcsold ki a radiátor,Környhámban kallott ki a da déd átort.,1.0
C_008_0001_curtain_corridor_AOL,C_008,Húzd szét a függöny a folyosón,"Ó, szétáppal gond, a följ alszónk!",1.0
C_008_0010_dishwasher_kitchen_LAO,C_008,A konyhában kapcsold be a mosogatógépet,"Akkor nyávan kapi szól, mert most sok galtó képet.",1.5
C_008_0010_heating_kitchen_AOL,C_008,Kapcsold be a anitátor a konyhában,Kapzorbe a tanirátor a konyhában!,0.6666666666666666
C_008_0100_heating_livingroom_ALO,C_008,Úzd lejjebb a nagyszobában a radirátor,"Ó, de nem, ahogy tömáma. Én adírától.",1.1666666666666667
C_008_0010_washingmaschine_bathroom_LOA,C_008,Fürdőszobában kapcsold be a mosógépet haszvan fokon,"Pöldöszombában kapcsolj fel, Morsom képet azban vokon.",1.0
C_008_0001_computer_room_LAO,C_008,A szobádon kikapcsolom szeámítógépet,A szombánydor kikapzordom az elmétogépet.,1.0
C_008_0010_fan_bathroom_LAO,C_008,A fürdőszobában kapcold be a ventilátor,A földöszomáman kapszol be a vettén ánton.,0.6666666666666666
C_008_0010_curtain_bathroom_AOL,C_008,Húzd be a függönyt a fürdőszobában,"Hó, mell a fünkőt a furtoson, bambon!",0.8333333333333334
C_008_0001_vacuum_bathroom_LAO,C_008,A fürdőszobában kapcsold ki a porszívót,A vördöszöm várman kapcsók ki a porcépot.,0.6666666666666666
C_008_0001_curtain_kitchen_AOL,C_008,Húzd szét a függönyöket a konyhában,"Ó, szétan, függönjök el a konyhámban!",0.8333333333333334
C_008_1000_heating_room_AOL,C_008,Húzd feljebb a radidátort a szobában,"Ó, szpelyen, bán, a nandidát, talszal szombánban!",1.0
C_008_0010_curtain_livingroom_LAO,C_008,A nagyszobában húzd be a függöny,A nájtomában kórhúz mell van gond.,0.8333333333333334
C_008_1000_TV_livingroom_LAO,C_008,A nagyszobában angosítsd fel a tévét,A nagyszomámban angószís fél a tébét.,0.6666666666666666
C_008_0100_electricity_smallroom_AOL,C_008,Kapcsold le a villanyt ké kisszobában,"Kapszor ne, amirány kérkési szól bármól.",1.0
C_008_0010_NULL_livingroom_AL,C_008,Kapcsold be a nagyszobában,Kapjól me a nació már van.,1.25
C_008_0001_curtain_kitchen_LAO,C_008,A konyhában húzd két a függöny,A konyhában hóz két a bündgön.,0.3333333333333333
C_008_1000_electricity_kitchen_AOL,C_008,Katvold fel a villanyt a konyhában,"Kársba az pedag, végig az kárskoinkámban.",1.0
C_008_0010_computer_livingroom_ALO,C_008,Kapcsold be a nagyszobában a számítógépet,Csak csolv me a nagyszomában a számítógéped.,0.8333333333333334
C_008_0010_curtain_bathroom_LAO,C_008,A fürdőszobában húz be a függönyt,A főző szörmában úgyző bármúgygőnc.,0.8333333333333334
C_008_0100_heating_room_LAO,C_008,A szobában hőzd lejjebb a radidátor,"az szomámban, húz eljel van a nézáltóz.",1.0
C_008_0010_vacuum_bathroom_AOL,C_008,Kapcsold be a porszívót a fürdőszobában,"A pár színtbár tanpa, de szóval bármán.",1.1666666666666667
C_008_0010_radio_livingroom_AOL,C_008,Kapcsold be a rádiód a nagyszobában,"Kaptjon be a ládi oldal, dartsó bánban!",0.8333333333333334
C_008_0010_curtain_smallroom_LAO,C_008,A kisszobában húz be a függönyt,A készombában hóz vevön gönyt.,0.8333333333333334
C_008_0010_heating_corridor_LAO,C_008,A folyojot kapcsold be a radidátort,A fozorjot kapcsoljt be a néni zártot.,0.6666666666666666
C_009_1000_shutter_bathroom_AOL,C_009,Huzd fel a redönyt fürdőszobaban,"Úgy föl a rednőn, hogy főd a szababban.",1.4
C_009_0010_fan_bathroom_AOL,C_009,Kapcsold be a ventillatort a fürdőszobaban,"A csodál van, tényleg.",1.0
C_009_1000_electricity_livingroom_AOL,C_009,Kapcsold fel a villanyt a nagyszobaban,"kapcsolatban, nem tudná szávó volt.",1.0
C_009_0100_electricity_smallroom_AOL,C_009,Kapcsold le a villant a kisszobaban,"Aztudod, hogy én amikor ki szabályam.",1.0
C_009_0100_electricity_corridor_AOL,C_009,Kapcsold le a villant a folyosón,kapcsolatban eltálltunk.,1.0
C_009_0010_window_bathroom_LAO,C_009,A fürdőszobaban zárd be az ablakot,"A föltozsába van zállt, bár tárbalkan.",0.8333333333333334
C_009_0010_window_smallroom_LAO,C_009,A kisszobaban zárd az ablakot,"Akkor szababban, záromtosabb akartok.",1.0
C_009_0010_window_kitchen_AOL,C_009,Zárd be az ablakot a konyhában,Hát bizább akartok a nyába.,0.8333333333333334
C_009_0010_window_corridor_AOL,C_009,Zárd be az ablakot a folyosón,az adbágyzábbak a felyeson.,0.6666666666666666
C_009_0100_shutter_smallroom_AOL,C_009,Huzd le a redönyt a kisszobaban,Bújt lágadnunk a készabában.,0.8333333333333334
C_009_0010_radio_room_AOL,C_009,Kapcsold a rádet a szobaban,"kaptam darályt, a csapapapam.",0.8
C_009_0100_electricity_room_LAO,C_009,A szobaban kapcsold le a villanyt,"Azt a baban kaptunk, hogy nem félont.",1.1666666666666667
C_009_1000_TV_room_LAO,C_009,A szobába hangosítsd fel a tévét,Aztán babam ugye süssel a tevet.,0.8333333333333334
C_009_0001_computer_smallroom_LAO,C_009,A kisszobában kapcsold ki a zámítógépet,"Akkor is szával baromkapszolj, a zsámi töképet.",1.0
C_010_0010_fan_room_LAO,C_010,A szobában kapcsold be a ventilátort,"A szóval van kocsó, beöntjük.",0.8333333333333334
C_010_0001_computer_smallroom_LAO,C_010,A kisszobába kapcsold ki a számítógépet,"Aki ezt a várom kaptott, kia szántok.",1.1666666666666667
C_010_0001_curtain_corridor_LAO,C_010,A folyosón húzd szét a függönyt,a puja srácok húzsáta figyeljünk.,1.0
C_010_0010_curtain_bathroom_AOL,C_010,Húzd be a függönyt a füldőszobába,"Húthabb, gondolj után.",1.0
C_010_0010_window_bathroom_LAO,C_010,A fürdőszobában zárd be az ablakot,"A hüttőt, a bármuntállizm.",0.8333333333333334
C_010_0001_radiator_room_AOL,C_010,Kapcsold ki a radiátort a szobába,Kacsok el a rájátot azokával.,0.8333333333333334
C_010_0010_fan_kitchen_LAO,C_010,A konyhába kapcsold be a ventilátort,a konyhával kacsobb belzendelhet.,1.0
C_010_1000_electricity_corridor_AOL,C_010,Kapcsold fel a villanyt a folyosón,"Kaptam a szávílete, hogy érjön.",0.8333333333333334
C_010_0001_curtain_kitchen_AOL,C_010,Húzd szét a függönyt a konyhába,húzzét a hüggöntek a lámát.,0.6666666666666666
C_010_0010_window_corridor_AOL,C_010,Zárd be az ablakot a folyosón,"Zállj, hogy az oldal.",0.8333333333333334
C_010_1000_radiator_livingroom_AOL,C_010, Húzd fel a radiátort a nagycobába,"Kusza, rá, mi a totális van.",1.0
C_010_0100_electricity_bathroom_LAO,C_010,A füldőszobában kapcsold le a villanyt,"A hűtösz a vállal, kaptam, lábjul.",0.8333333333333334
C_010_0010_door_room_AOL,C_010,Zárd be az ajtót a szobába,Szervezett a szolvába.,0.8333333333333334
C_010_0100_radiator_livingroom_AOL,C_010,Húzd le a radiátort a nagycobába,"Kudarod, játottal nácsodál.",1.0
C_010_0100_electricity_kitchen_LAO,C_010,A konyhában kapcsold le a villanyt,A konyhában kultúrulom illan.,0.6666666666666666
C_010_0010_toaster_kitchen_OAL,C_010,A kenyérpirítót kapcsold be a konyhába,"Kérni, hogy tudjuk ott kacson, ne konjában.",1.1666666666666667
C_010_0010_curtain_corridor_LAO,C_010,A folyosón húzd be a fügönyt,A folyasdson húzva higyét.,0.8333333333333334
C_010_0010_vacuum_livingroom_AOL,C_010,Kapcsold be a porszívót a nagycobába,Kaptam a porcigutárt a vávon.,0.6666666666666666
C_010_0010_door_kitchen_AOL,C_010,Zárd be az ajtót a konyhában,"Záj be, záj, tudod, tudod, konyába.",1.0
C_010_0010_window_room_LAO,C_010,A szobában zárd be az ablakot,A szavágon zárgázzam magot.,0.8333333333333334
C_010_0001_vacuum_livingroom_AOL,C_010,Kapcsold ki a porszívót a nagycobába,"kaktunk ki a porcimodránc, a bármát.",0.5
C_010_1111_radio_corridor_AOL,C_010,Válts csatornát a rádión a folyosón,"Válcsatulnát a rádiút, a kólyosan.",0.6666666666666666
C_010_0010_radiator_bathroom_AOL,C_010,Kapcsold be a radiátort a fühldőszobába,"Kaptam belőle, hogy játottam itt a szóval.",1.0
C_010_0100_radiator_room_AOL,C_010,Húzd le a radiátort a szobába,"Húz a rádiát, hogy a szabában.",0.8333333333333334
C_010_0100_radiator_bathroom_AOL,C_010,Húzd le a radiátort a fühldőszobába,"De játottam, firtös a város.",0.8333333333333334
C_010_1000_electricity_kitchen_AOL,C_010,Kapcsold fel a villanyt a konyhában,"Kacsoldtál, vírnál, te konyávon.",1.0
C_010_0010_curtain_room_AOL,C_010,Húzd be a függönyt a szobában,"Púzdva, figyeljünk just a bávo.",0.8333333333333334
C_010_1000_shutter_corridor_LAO,C_010,A folyosón húzd fel a ledőnyöket,A purocsón után előre jelen.,0.8333333333333334
C_011_1000_electricity_kitchen_AOL,C_011,Kapcsold fel a villanyt a konyhába,Kavcsolt fel a villanyt a konyhába.,0.3333333333333333
C_011_1111_TV_smallroom_AOL,C_011,Csatornát váltson a tévében a kisszobában,Csatornát vágcon a tv-ben a kiszobában.,0.5
C_011_0001_fan_livingroom_AOL,C_011,Kapcsold ki a ventilátort a nagyszobába,kapcsolt ki a ventillátort majd szobába.,0.6666666666666666
C_011_0001_fan_smallroom_AOL,C_011,Kapcsold ki a ventilátört a kisszobába,kapcsolt ki a ventilátóért a kiszobába.,0.5
C_011_0001_door_room_LAO,C_011,A szobába nyisd ki az ajtót,A szobába nyíst ki az ajtót.,0.3333333333333333
C_011_1000_TV_corridor_AOL,C_011,Hangosítsd fel a tévét a folyosóba,"Hongoshijt, fair attevet, affolyosor var.",1.0
C_011_0010_curtain_bathroom_AOL,C_011,Húzd be a függönyt a fürdőszobába,"húzd, be a függönt, a füldő szobába.",0.6666666666666666
C_011_0001_TV_room_AOL,C_011,Hangosítsd ki a tévét a szobába,Hangosizt ki a tevet a szobába.,0.5
C_011_0100_TV_livingroom_LAO,C_011,A nagyszobában hangosítsd le a tévét,A nagy szobában hangosítsd le a tévét.,0.5
C_011_1000_shutter_corridor_AOL,C_011,Húzd fel a redőnyt a folyosóra,hózt fél a redönt a folyó sóra.,0.8333333333333334
C_011_0100_shutter_room_LAO,C_011,A szobába engedd le a redőnyt,A szobában enged le a redönt.,0.5
C_011_0100_shutter_bathroom_AOL,C_011,Húzd le a redőnyt a fürdőszobába,húzd le a redönt a fürdő szobába.,0.6666666666666666
C_011_0010_door_bathroom_AOL,C_011,Zárd ki az ajtót a fürdőszobába,Záld ki az ajtót a füldő szobába.,0.5
C_011_0100_shutter_kitchen_AOL,C_011,Húzd le a redőnyt a konyhába,húzd le a redőnyt a konyhába.,0.3333333333333333
C_011_0001_oven_kitchen_LAO,C_011,A konyhában kapcsold ki a sütőt,A konyhában kapcsolat ki a sütőt.,0.3333333333333333
C_011_0100_electricity_bathroom_AOL,C_011,Kapcsold le a villanyt a fürdőszobában,kapcsód le a villaint a firdő szobával.,0.6666666666666666
C_011_0100_electricity_smallroom_AOL,C_011,Kapcsold le a villanyt a kisszobába,kapcsolj le a villajnt a kiszobába.,0.5
C_013_1000_corridor_electricity_LAO,C_013,A folyosóban kapcsold fel a villanyt,Vajon sokban kaptsod fel a villányt.,0.6666666666666666
C_013_0001_bathroom_washingmachine_LAO,C_013,A fürdőszobában kapcsold be a mosógépet harminc fokon,"a fürdő szobában kapcsolta, be a mazsolgépett, ahagy minthogy fogok.",1.0
C_013_0001_livingroom_curtain_AOL,C_013,Húzd szét a függönyt a nagyszobában,hús szét a függőint a nagyszobában.,0.5
C_013_0010_smallroom_curtain_AOL,C_013,Húzd be a függönyt a kisszobában,Húst be a függöint a fisszobában.,0.5
C_013_0001_corridor_fan_AOL,C_013,Kapcsold ki a ventilátort a folyosóban,kapcsolat kiaventilától tapogyosóban.,1.0
C_013_0100_bathroom_radiator_LAO,C_013,Fürdőszobában vedd lejjebb a radiátort,Jürgdő szobában vejjebb a radiátort.,0.8
C_013_0010_smallroom_window_LAO,C_013,Kisszobában zárjuk be az ablakot,és szobában szárjunk be az ablakot.,0.8
C_013_1111_bathroom_TV_AOL,C_013,Váltsd csatornát a tévén a fürdőszobába,Vágyd satornát a TV-n a földöszobában.,0.6666666666666666
C_013_0010_room_curtain_LAO,C_013,Szobában húzd be a függönyt,szobában húzd be a függöinte.,0.4
C_013_0001_livingroom_fan_AOL,C_013,Kapcsold ki a ventilátort a nagyszobában ,kapcsód ki a ventilátort a nagyszobában.,0.3333333333333333
C_013_0001_kitchen_radiator_LAO,C_013,Konyhában kapcsold ki a a radiátort,konyhában kapcsolatja radiátor.,1.0
C_013_1111_room_TV_AOL,C_013,Váltsd csatornát a tévén a szobába,"Válj, hogy satornát a tervénös szobában.",1.0
